text,emotion
I am so happy today,happy
Feeling sad and lonely,sad
This makes me angry,angry
So peaceful right now,calm
I am in love with you,love
Excited for the party,excited
Frustrated with work,frustrated
Anxious about tomorrow,anxious
Neutral day today,neutral
BTS Dynamite is my favorite song,excited
I love Blackpink,excited
Arijit Singh songs make me emotional,sad
Feeling romantic today,love
Stressed about my exam,anxious
This traffic is frustrating me,angry
Meditation makes me peaceful,calm
Just got a promotion!,happy
Breakup hurts so much,sad
Watching a comedy show,happy
Listening to old classics,calm
Feeling motivated today,excited
Missing my friends,sad
In a party mood!,excited
Rainy days make me thoughtful,calm
Arguments make me upset,angry
New relationship energy,love
Monday blues,sad
Friday feeling,happy
I want to listen to BTS,excited
Play some Punjabi songs,excited
Hindi love songs please,love
English rock music,excited
Feeling like dancing to Bollywood,happy
K-pop makes me happy,happy
Korean songs are cool,excited
I am feeling very happy today 😄,happy
Life is so beautiful 😊,happy
Mujhe bahut khushi ho rahi hai 😍,happy
Dil garden garden ho gaya 🌸,happy
Khushiyon ka din hai 🎊,happy
My heart is full of joy 😃,happy
Yeh pal bohot suhana hai 🌞,happy
Celebrating with friends 🎉,happy
Feeling on top of the world 😎,happy
Bahut hi accha lag raha hai 💐,happy
I'm overjoyed with this news! 😄,happy
Joy fills my heart today 🌟,happy
Meri khushi ka thikana nahi hai 🎈,happy
Dancing to my favorite beat 🎶,happy
Life is a celebration now 🎂,happy
Blessed with good vibes 😇,happy
Happy moments with family 🎈,happy
Laughing all day long 😂,happy
Meri jeet ka jashn 🎉,happy
Feeling energetic and alive ⚡,happy
Dancing to upbeat music 🎵,happy
Surprise gift made me smile 😄,happy
Celebrating success today 🏆,happy
Heart full of gratitude 🙏,happy
Joyful vibes all around 🌟,happy
Mera dil khush hai aaj 🌞,happy
Excited for new adventures ✈️,excited
Thrilled about the game night 🎮,excited
Mera sapna sach ho gaya 🥳,excited
Pumped for the concert 🎤,excited
Ready for the festival 🎪,excited
High energy today 🚀,excited
Anticipating fun times 🎢,excited
Mera dil dhadak raha hai 🤩,excited
Eager for the weekend 🕺,excited
Buzzing with excitement ✨,excited
Love is in the air 💞,love
Teri baahon mein sukoon 💖,love
Mujhe tumse pyaar hai ❤️,love
Romantic dinner tonight 🌹,love
Holding you close 😘,love
Dil se dil ka rishta 💕,love
Tum mere liye sab kuch ho 🤝,love
Love flowing endlessly 💘,love
Tera chehra yaad aata hai 💭,love
Pyaar ka jadoo chala 🌸,love
Calm sea breeze 🌊,calm
Peaceful morning yoga 🧘‍♂️,calm
Meditating under stars 🌜,calm
Tranquil forest walk 🌳,calm
Soft rain sounds 🎶,calm
Inner peace today 🙏,calm
Relaxing by the lake 🌅,calm
Serenity in silence 🌿,calm
Mind at rest 🕉️,calm
Gentle waves soothe me 🌊,calm
Angry at the delay 🚨,angry
Fuming over the mistake 💥,angry
Gussa dil pe chha gaya 🔥,angry
Mad at the unfairness 😡,angry
Boiling with rage 👿,angry
Irritated by noise 😤,angry
Lost my cool today 🤯,angry
Anger took over me 💢,angry
Furious with the team 😾,angry
Can't stand this anymore 🚨,angry
Anxious about the meeting 📅,anxious
Heart pounding with fear 💓,anxious
Tension badh raha hai 😰,anxious
Nervous about speaking 🎤,anxious
Mera dil ghabra raha hai 😟,anxious
Worried about results 📝,anxious
Fear of failure creeps in ❄️,anxious
Overthinking the future 🌀,anxious
Anxiety hits hard 😥,anxious
Unsure about tomorrow 😬,anxious
Frustrated with technology 😖,frustrated
Stuck in a rut 🚗,frustrated
Annoyed by repetition 🔄,frustrated
Fed up with delays ⏳,frustrated
Irritated by mistakes 😣,frustrated
Pareshaan ho gaya hoon 😫,frustrated
Nothing goes right today 😕,frustrated
Exasperated with work 😠,frustrated
Tired of waiting 🍽️,frustrated
Frustration boiling over 🗑️,frustrated
Feeling content with the day 🌅,neutral
Mind at ease today 😌,neutral
No excitement or sadness 😶,neutral
Casual vibes only 🌿,neutral
Reflecting quietly 🌙,neutral
Balanced mood today ⚖️,neutral
Just existing peacefully 🕉️,neutral
Neutral thoughts flowing 🤷‍♀️,neutral
Calm and unbothered 🌺,neutral
Steady state of mind 😮‍💨,neutral
Unremarkable day ahead 🌤️,neutral
Quiet reflection time 🤔,neutral
No highs or lows today 😐,neutral
Serene and steady 🌊,neutral
Winning the lottery would make me ecstatic 😄,happy
My team won the match! 🎉,happy
Got a surprise party 🥳,happy
Feeling the joy of freedom 🌟,happy
Laughing with friends all night 😂,happy
Mera sapna poora ho gaya 😍,happy
Dancing in the rain 🌧️,happy
Heart overflowing with happiness 💖,happy
Celebrating a milestone 🏆,happy
Life is perfect right now 🌞,happy
Excited for the movie release 🎥,excited
Mera birthday aa raha hai 🥳,excited
Ready for adventure sports 🏂,excited
Thrilled to meet my idol 🤩,excited
Pumped for the road trip 🚗,excited
Energy overflowing today ⚡,excited
Can't wait for the surprise 🎁,excited
Utsahit hoon naye challenge ke liye 🚀,excited
Buzzing with anticipation ✨,excited
High on life right now 🕺,excited
Lost my pet and feeling heartbroken 😢,sad
Mujhe yaad aa rahi hai uski 😞,sad
Feeling isolated in the crowd 🌫️,sad
Tears of sorrow flowing 😭,sad
Life seems meaningless today 😔,sad
Broken promises hurt deeply 💔,sad
Missing the old days 🌧️,sad
Silent cries in the night 😿,sad
Dark clouds over my mind 🌑,sad
Sadness engulfing my soul 😩,sad
Your smile makes my heart flutter ❤️,love
Tumhare bina jeena mushkil hai 💕,love
Love at first sight 😘,love
Dil tumhare naam kar diya 💖,love
Eternal love for you 🌹,love
Holding hands forever 🤝,love
Thinking of you always 💭,love
Prem ki gehraai mein dooba 💞,love
Our love story is beautiful ❤️,love
Love makes everything better 💘,love
Angry at the betrayal 😠,angry
Gussa se laal ho gaya 🔥,angry
Can't tolerate injustice 😡,angry
Rage building inside 💢,angry
Irritated by everything 👿,angry
Furious outburst coming 😤,angry
Head exploding with anger 🤯,angry
Patience tested to limits 🚨,angry
Boiling point reached 😾,angry
Mad as hell 💥,angry
Nervous for the presentation 😳,anxious
Dil ki dhadkan teez ho gayi 💓,anxious
Worried about the outcome 📚,anxious
Fear gripping my heart 😨,anxious
Overthinking every detail 🌀,anxious
Anxiety attack coming 😥,anxious
Uncertain times ahead 😬,anxious
Shaking with nervousness ❄️,anxious
Bechaini se neend nahi aa rahi 💭,anxious
Tension at peak 😰,anxious
Frustrated with constant failures 😖,frustrated
Sab kuch galat ho raha hai 😫,frustrated
Annoyed by small things 😣,frustrated
Stuck in endless loop 🔄,frustrated
Irritated with slow progress ⏳,frustrated
Fed up with excuses 🗑️,frustrated
Patience running thin 😕,frustrated
Technical glitches ruining day 😵,frustrated
Why me always 😒,frustrated
Exasperated beyond limits 😠,frustrated
Day passing normally 😐,neutral
No particular feelings 🌥️,neutral
Balanced routine today ⚖️,neutral
Quiet and uneventful 🤷‍♂️,neutral
Thoughts wandering freely 🤔,neutral
Neutral stance on everything 😶,neutral
Steady as she goes 🌊,neutral
Unbothered by surroundings 🌺,neutral
Reflection without emotion 🌙,neutral
Just another day 🌤️,neutral
Serene neutrality 🕉️,neutral
Casual observations 😮‍💨,neutral
No drama today 😐,neutral
Peaceful indifference 🌿,neutral
Steady mindset 🤷‍♀️,neutral
Feeling so sleepy today 😴,sleepy
Thak gaya hoon bahut 😫,sleepy
Neend aa rahi hai 😪,sleepy
Long day need rest 🛌,sleepy
Office se thak kar aaya hoon 😓,sleepy
Bhook lag rahi hai 🍔,hungry
Pet mein chuhiya daud rahi hai 🐭,hungry
Khaana khaane ka mann kar raha hai 🍲,hungry
Pyaas lag rahi hai 🥤,thirsty
Thirsty for some juice 🧃,thirsty
Feeling sick today 🤒,sick
Bukhaar hai 😷,sick
Jukam ho gaya 🤧,sick
Body pain ho raha hai 😣,sick
Headache hai 🤕,sick
Bored ho raha hai 😑,bored
Kuch karne ka mann nahi hai 🥱,bored
Time nahi kat raha 😮‍💨,bored
Entertain me please 🎭,bored
Kuch interesting batao 🤷,bored
OMG! Can't believe it 😲,surprised
Yeh kya ho gaya!🤯,surprised
Shocked by the news 🫢,surprised
Ajeeb lag raha hai 😳,surprised
Unexpected result! 🎭,surprised
Confused hu 😵‍💫,confused
Samajh nahi aa raha 🤷,confused
Kya karu? 🤔,confused
Dil mein confusion hai 💭,confused
Decision lene mein problem 🚦,confused
Proud of myself 🥹,proud
Apne aap par garv hai 😊,proud
Kaam successful ho gaya! 🏆,proud
Parents proud of me 👨‍👩‍👧,proud
Achievement mili! 🎖️,proud
Jalta hu 😠,jealous
